pred,score,idx,gamePK,label_iforest,match
1,0.1263253158914966,94,,1,1
1,0.13827585411490867,95,,1,1
1,0.13827585411490867,96,,-1,0
1,0.13825353211863906,97,,-1,0
1,0.14035546056451703,98,,-1,0
1,0.14312496610809505,99,,-1,0
1,0.14312496610809505,100,,1,1
1,0.1436965322085606,101,,1,1
1,0.1438948978859056,102,,1,1
1,0.14519517385964453,103,,1,1
1,0.14467641233168332,104,,1,1
1,0.14804004150593258,105,,1,1
1,0.14928731709553233,106,,1,1
1,0.1496710863759914,107,,1,1
1,0.14404766907045435,108,,1,1
1,0.14043894390539197,109,,1,1
1,0.14028271824022548,110,,1,1
1,0.14051109040051912,111,,1,1
1,0.13167731857441817,112,,1,1
1,0.13376061929766758,113,,1,1
1,0.13066439519572975,114,,1,1
1,0.12548145763214663,115,,1,1
1,0.1255267247857636,116,,1,1
1,0.12365466369368372,117,,1,1
1,0.12459445995075275,118,,1,1
1,0.11789377017054242,119,,1,1
1,0.11234750899104279,120,,1,1
1,0.11053872025876688,121,,1,1
1,0.11249390346085875,122,,1,1
1,0.11640488350467015,123,,-1,0
1,0.11730137695780896,124,,-1,0
1,0.12043027949340607,125,,1,1
1,0.12170554153972457,126,,1,1
1,0.12764273629790418,127,,-1,0
1,0.14035546056451703,128,,1,1
1,0.14312496610809505,129,,1,1
1,0.14312496610809505,130,,1,1
1,0.1436965322085606,131,,1,1
1,0.13527816755895028,132,,1,1
1,0.13082925423391495,133,,1,1
1,0.12790411743662838,134,,1,1
1,0.1256816277619357,135,,1,1
1,0.12153722439357278,136,,1,1
1,0.10934338168374119,137,,-1,0
1,0.09831032261543876,138,,-1,0
1,0.10871115548796606,139,,-1,0
1,0.09494188690381428,140,,1,1
1,0.08652652886811185,141,,1,1
1,0.09010041589423523,142,,1,1
1,0.06466484671628381,143,,1,1
1,0.06728864990589711,144,,-1,0
1,0.06705534557609616,145,,-1,0
1,0.06108624458485096,146,,1,1
